ID;MODULO;SUBMODULO;CAPACIDAD;LEGACY_EVIDENCE;LEGACY_STATUS;REACT_EVIDENCE;REACT_STATUS;PARITY_STATUS;SEVERITY;NOTES
"CO-08";"COMPRAS";"Pedidos";"Duplicar pedido de compra";"app.js menú «Más»";"ACTIVE";"RPC duplicar_pedido_compra";"OK";"PARITY";"";""
"CO-09";"COMPRAS";"Pedidos";"Imprimir pedido de compra";"app.js #pc-print-btn / data-pc-print";"ACTIVE";"VistaImpresionCompras";"OK";"PARITY";"";""
"CO-10";"COMPRAS";"Pedidos";"Enviar el pedido por mail";"app.js data-doc-enviar";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";"Mismo caso que VE-15."
"CO-11";"COMPRAS";"Recepción";"Registrar recepción de mercadería";"app.js data-nep-qty (recepción parcial)";"ACTIVE";"RecepcionNuevaPage; RPC confirmar_recepcion";"OK";"PARITY";"";""
"CO-12";"COMPRAS";"Facturas";"Listar facturas de proveedor";"app.js:33191 renderFacturasProvList; data-fp-open";"ACTIVE";"compras/pages/FacturasPage.tsx";"OK";"PARITY";"";""
"CO-13";"COMPRAS";"Facturas";"Crear y editar factura de proveedor";"app.js:33332 renderFacturaProvEditor";"ACTIVE";"FacturaNuevaPage / FacturaDetallePage; RPC registrar_factura_proveedor";"OK";"PARITY";"";""
"CO-14";"COMPRAS";"Notas";"Notas de crédito/débito de proveedor";"app.js:33572 renderNotasProvList; :33686 renderNotaProvEditor";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"CO-15";"COMPRAS";"Costos";"Ver el último precio de compra";"app.js: memoria de costos";"ACTIVE";"RPC ultimo_precio_compra";"OK";"PARITY";"";""
"CO-16";"COMPRAS";"Trazabilidad";"Registrar evento de compra";"app.js erp_trazabilidad_log";"ACTIVE";"RPC registrar_evento_compra";"OK";"PARITY";"";""
"CO-17";"COMPRAS";"Pendientes";"Ver lo pendiente de facturar y de pedir";"app.js: columnas del listado";"ACTIVE";"RPC pendiente_de_facturar / pendiente_de_pedido";"OK";"PARITY";"";""
"ST-01";"STOCK";"Existencias";"Ver stock real y virtual por producto";"app.js getEffectiveStock; columnas del catálogo";"ACTIVE";"Celdas.tsx StockCelda; RPC informe_stock_actual";"OK";"PARITY";"";""
"ST-02";"STOCK";"Existencias";"Informe de stock del catálogo";"app.js:26404 renderInformeStock";"ACTIVE";"RPC informe_stock_catalogo / informe_stock_resumen; TablaStock";"OK";"PARITY";"";""
"ST-03";"STOCK";"Movimientos";"Ver el historial de movimientos de un producto";"app.js loadKardex, 15 últimos en la ficha";"ACTIVE";"HistorialStock; RPC informe_kardex_producto";"OK";"PARITY";"";""
"ST-04";"STOCK";"Movimientos";"Listar todos los movimientos con filtros";"app.js: dentro del informe de stock";"ACTIVE";"MovimientosStock; RPC informe_movimientos_stock";"OK";"PARITY";"";""
"ST-05";"STOCK";"Movimientos";"Exportar movimientos a CSV";"app.js:30340 export CSV del módulo";"ACTIVE";"lib/csvStock.ts";"OK";"PARITY";"";""
"ST-06";"STOCK";"Entradas";"Dar entrada por recepción de compra";"app.js: recepción del pedido de compra";"ACTIVE";"RPC confirmar_recepcion";"OK";"PARITY";"";""
"ST-07";"STOCK";"Salidas";"Dar salida por remito";"app.js #ne-confirm-stock";"ACTIVE";"RPC confirmar_entrega";"OK";"PARITY";"";""
"ST-08";"STOCK";"Ajustes";"Ajustar existencias a mano";"no se encontró una pantalla de ajuste";"UNKNOWN";"sin equivalente";"NO";"UNKNOWN";"";"Hay que confirmar con Juan si el ajuste se hacía por otra vía."
"ST-09";"STOCK";"Reservas";"Reservar stock (virtual = real − reservado)";"app.js getEffectiveStock usa sr y sv precalculados";"ACTIVE";"stock_balances.reserved; confirmar_entrega";"OK";"PARITY";"";""
"ST-10";"STOCK";"Depósitos";"Manejar más de un depósito";"no se encontró";"UNREACHABLE";"stock_balances tiene el depósito";"PARCIAL";"INTENTIONALLY_DIFFERENT";"";"React modela el depósito; el legacy no lo expone."
"ST-11";"STOCK";"Transferencias";"Transferir entre depósitos";"no se encontró";"UNREACHABLE";"sin equivalente";"NO";"PARITY";"";"Ninguno de los dos lo tiene."
"ST-12";"STOCK";"Sin saldo";"Distinguir «sin saldo registrado» de cero";"app.js muestra 0";"ACTIVE";"Celdas.tsx: muestra «—»";"OK";"INTENTIONALLY_DIFFERENT";"";"React corrige una afirmación falsa del legacy."
"MA-01";"MANTENIMIENTO";"Activos";"Listar y abrir activos";"app.js:28616 FEIN AccuTec data layer; data-mant-open-activo; mant_activos";"ACTIVE";"modules/mantenimiento/pages/ActivosPage.tsx";"OK";"PARITY";"";""
"MA-02";"MANTENIMIENTO";"Activos";"Crear y editar activo";"app.js:29086 Nueva Ficha — tool selector";"ACTIVE";"ActivoNuevoPage / ActivoDetallePage";"OK";"PARITY";"";""
"MA-03";"MANTENIMIENTO";"Órdenes";"Ficha de servicio en 5 pasos";"app.js:29170 Ficha layout + steps; data-mant-step; :29266 Diagnóstico, :29322 Cotización, :29397 Reparación, :29429 Torque, :29520 Cierre";"ACTIVE";"OrdenDetallePage; RPC precheck_cierre_mantenimiento, cerrar_orden_mantenimiento";"OK";"PARITY";"";""
"MA-04";"MANTENIMIENTO";"Órdenes";"Pausar una ficha";"app.js #mant-pausar-btn";"ACTIVE";"estados de la orden";"PARCIAL";"PARTIAL";"LOW";""
"MA-05";"MANTENIMIENTO";"Órdenes";"Aprobar o rechazar la cotización del servicio";"app.js #cot-aprobar / #cot-rechazar / #cot-pendiente";"ACTIVE";"RPC aprobar_cotizacion_mantenimiento / rechazar_cotizacion_mantenimiento";"OK";"PARITY";"";""
"MA-06";"MANTENIMIENTO";"Órdenes";"Registrar mediciones de torque";"app.js:29429 Step 4: Torque";"ACTIVE";"RPC capacidad_torque; modules/mantenimiento/components";"OK";"PARITY";"";""
"MA-07";"MANTENIMIENTO";"Repuestos";"Consumir repuestos en la orden";"app.js mant_repuestos";"ACTIVE";"RPC confirmar_consumo_mantenimiento";"OK";"PARITY";"";""
"MA-08";"MANTENIMIENTO";"Historial";"Ver el histórico importado de STEL";"app.js mant_historico; data-hist-id / data-hist-del";"ACTIVE";"histórico STEL separado (F20 · E2, opción C)";"OK";"PARITY";"";""
"MA-09";"MANTENIMIENTO";"Historial";"Borrar un registro del histórico";"app.js data-hist-del / #btn-hist-clear";"ACTIVE";"sin equivalente: el histórico es de sólo lectura";"NO";"INTENTIONALLY_DIFFERENT";"";"Deliberado: el histórico importado no se edita."
"MA-10";"MANTENIMIENTO";"Lotes";"Cotizaciones por lotes";"app.js:30129 Cotizaciones por Lotes; data-lote-id / #btn-nuevo-lote";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"MA-11";"MANTENIMIENTO";"Modelos";"Administrar modelos de herramienta";"app.js:30183 Modelos; data-modelo / data-mod-row / #btn-nuevo-modelo; mant_modelos_custom";"ACTIVE";"derivado del catálogo (_mantCatalogModelos)";"PARCIAL";"PARTIAL";"MEDIUM";"React no deja crear un modelo a mano."
"MA-12";"MANTENIMIENTO";"Manuales";"Adjuntar y abrir manuales PDF";"app.js:30273 Manuales / PDF; data-man-del / #btn-nuevo-manual; mant_manuales";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"MA-13";"MANTENIMIENTO";"Backup";"Exportar histórico, actividad, clientes y nuevos a CSV";"app.js:30328 #exp-hist-csv/#exp-act-csv/#exp-cli-csv/#exp-new-csv";"ACTIVE";"modules/mantenimiento/lib/csv.ts";"PARCIAL";"PARTIAL";"LOW";"React exporta activos y órdenes; no los cuatro del legacy."
"MA-14";"MANTENIMIENTO";"Backup";"Backup completo a JSON";"app.js #exp-backup-json";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"En React el dato vive en la base; el backup es de la base."
"MA-15";"MANTENIMIENTO";"Usuarios";"Usuarios del módulo de mantenimiento";"app.js:30417 Usuarios; data-usr-toggle / data-usr-del; mant_usuarios";"ACTIVE";"usuarios del sistema (UsuariosPage)";"OK";"INTENTIONALLY_DIFFERENT";"";"React no tiene un padrón de usuarios aparte por módulo."
"MA-16";"MANTENIMIENTO";"Puntos";"Puntos de mantenimiento";"no se encontró";"UNREACHABLE";"PuntosPage";"OK";"INTENTIONALLY_DIFFERENT";"";"REACT_ONLY."
"MA-17";"MANTENIMIENTO";"Despiece";"Elegir el repuesto sobre el plano";"app.js:16045 DESPIECE INTERACTIVO; data-part";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";"Mismo caso que CA-14."
"MA-18";"MANTENIMIENTO";"Panel";"Panel del módulo con sus métricas";"app.js:28932 Dashboard (mantenimiento); data-mant-view / data-mant-filter";"ACTIVE";"OrdenesPage con filtros";"PARCIAL";"PARTIAL";"LOW";""
"EM-01";"EMAILS";"Bandeja";"Ver la bandeja de entrada";"app.js:40294 EMAILS; renderEmailsLista:41233; tabla erp_emails";"ACTIVE";"modules/emails/pages/EmailsPage.tsx; RPC listar_bandeja_email";"OK";"PARITY";"";""
"EM-02";"EMAILS";"Bandeja";"Abrir y leer un hilo";"app.js:41497 renderEmailDetalle";"ACTIVE";"EmailHiloPage";"OK";"PARITY";"";""
"EM-03";"EMAILS";"Bandeja";"Buscar y filtrar";"app.js: filtros de la lista";"ACTIVE";"EmailsPage filtros";"OK";"PARITY";"";""
"EM-04";"EMAILS";"Bandeja";"Marcar leído / no leído";"app.js: acciones de la lista";"ACTIVE";"RPC marcar_hilo_leido_email / cambiar_estado_email";"OK";"PARITY";"";""
"EM-05";"EMAILS";"Bandeja";"Marcar como spam";"app.js erp_emails_spam";"ACTIVE";"RPC cambiar_estado_email";"OK";"PARITY";"";""
"EM-06";"EMAILS";"Redacción";"Redactar y enviar";"app.js erp_email_sent";"ACTIVE";"EmailRedactarPage; backend/emails";"OK";"PARITY";"";""
"EM-07";"EMAILS";"Redacción";"Responder un hilo";"app.js erp_emails_webhook_reply";"ACTIVE";"EmailHiloPage";"OK";"PARITY";"";""
"EM-08";"EMAILS";"Redacción";"Borradores";"no se encontró";"UNREACHABLE";"EmailBorradoresPage";"OK";"INTENTIONALLY_DIFFERENT";"";"REACT_ONLY."
"EM-09";"EMAILS";"Adjuntos";"Ver y descargar adjuntos";"app.js:24770 iconos por mime";"ACTIVE";"modules/emails/components";"OK";"PARITY";"";""
"EM-10";"EMAILS";"Etiquetas";"Administrar etiquetas";"app.js:44017 renderEmailsLabelsMgr; erp_email_labels";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"EM-11";"EMAILS";"Reglas";"Reglas de clasificación automática";"app.js:40917 renderEmailsRules; tabla erp_email_rules";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"EM-12";"EMAILS";"Config";"Configurar la cuenta de correo";"app.js:41034 renderEmailsConfig; erp_emails_access";"ACTIVE";"configuración del backend";"PARCIAL";"PARTIAL";"LOW";""
"EM-13";"EMAILS";"Asociación";"Vincular un hilo a un cliente";"app.js: acciones del detalle";"ACTIVE";"RPC vincular_cliente_email / sugerencias_cliente_email";"OK";"PARITY";"";""
"EM-14";"EMAILS";"Asignación";"Asignar el hilo a un usuario";"no se encontró";"UNREACHABLE";"RPC asignar_hilo_email / usuarios_asignables_email";"OK";"INTENTIONALLY_DIFFERENT";"";"REACT_ONLY."
"EM-15";"EMAILS";"Destinatarios";"Autocompletar destinatarios";"no se encontró";"UNREACHABLE";"RPC autocompletar_destinatarios_email";"OK";"INTENTIONALLY_DIFFERENT";"";"REACT_ONLY."
"EM-16";"EMAILS";"Sincronización";"Sincronizar por webhook";"app.js erp_emails_webhook_sync";"ACTIVE";"backend/emails en Cloud Run (F9)";"OK";"PARITY";"";""
"IN-01";"INFORMES";"General";"Pantalla de informes";"app.js:26188 renderInformes";"ACTIVE";"modules/informes/pages/InformesPage.tsx";"OK";"PARITY";"";""
"IN-02";"INFORMES";"Vistazo";"Vistazo general";"app.js:26245 renderInformeVistazo";"ACTIVE";"ResumenComercial";"OK";"PARITY";"";""
"IN-03";"INFORMES";"Ventas";"Informe de ventas";"app.js:26309 renderInformeVentas";"ACTIVE";"RPC informe_actividad_comercial + informe_documentos";"OK";"PARITY";"";""
"IN-04";"INFORMES";"Compras";"Informe de compras";"app.js:26367 renderInformeCompras";"ACTIVE";"sin equivalente propio";"NO";"MISSING";"MEDIUM";"React tiene los listados de compras, no el informe."
"IN-05";"INFORMES";"Stock";"Informe de stock";"app.js:26404 renderInformeStock";"ACTIVE";"TablaStock; RPC informe_stock_*";"OK";"PARITY";"";""
"IN-06";"INFORMES";"Evolución";"Evolución mensual";"app.js:26502 renderInformeEvolucion";"ACTIVE";"SerieMensual (F21 · E3.1)";"OK";"PARITY";"";""
"IN-07";"INFORMES";"Rankings";"Ranking de clientes y productos";"app.js: dentro de los informes";"ACTIVE";"RankingComercial; RPC informe_rankings_comerciales";"OK";"PARITY";"";""
"IN-08";"INFORMES";"Drill-down";"Abrir los documentos detrás de un número";"app.js: navegación a la sección";"ACTIVE";"SeccionDocumentos; RPC informe_documentos (F21 · E3: 18/18 exactos)";"OK";"INTENTIONALLY_DIFFERENT";"";"React sobrepasa: el drill-down reconcilia exacto con el KPI."
"IN-09";"INFORMES";"Exportar";"Exportar el informe a CSV";"app.js: exports por listado";"ACTIVE";"ExportarInforme + lib/csv.ts";"OK";"PARITY";"";""
"IN-10";"INFORMES";"Moneda";"Ver por moneda sin sumarlas";"app.js:20056 convierte a USD para comparar";"ACTIVE";"SelectorMoneda; no suma monedas";"OK";"INTENTIONALLY_DIFFERENT";"";"Decisión de F21: no sumar monedas distintas."
"IN-11";"INFORMES";"Biblioteca";"Biblioteca de archivos";"app.js:26556 renderBibliotecaArchivos; erp_attachments";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";"Repositorio central de los adjuntos de todos los documentos."
"IN-12";"INFORMES";"Período";"Elegir el período y comparar contra el anterior";"app.js: selector de período";"ACTIVE";"useFiltrosInformes";"OK";"PARITY";"";""
"CF-01";"CONFIGURACION";"General";"Pantalla de configuración";"app.js:43453 renderConfig";"ACTIVE";"modules/configuracion/pages";"OK";"PARITY";"";""
"CF-02";"CONFIGURACION";"Usuarios";"Alta, baja y edición de usuarios";"app.js #btn-admin-users; erp_auth_users";"ACTIVE";"UsuariosPage; RPC config_listar_usuarios, config_cambiar_estado";"OK";"PARITY";"";""
"CF-03";"CONFIGURACION";"Roles";"Asignar rol";"app.js: role en erp_auth_users (ADMIN/cliente/equipo)";"ACTIVE";"RPC config_cambiar_rol (admin/employee/salesperson/technician/customer/distributor)";"OK";"INTENTIONALLY_DIFFERENT";"";"React tiene más roles y los aplica con RLS."
"CF-04";"CONFIGURACION";"Permisos";"Permiso por sección y por usuario";"app.js data-perm-k; PERM_SECCIONES; erp_user_perms";"ACTIVE";"sólo por rol";"PARCIAL";"PARTIAL";"MEDIUM";"Mismo punto que SH-11."
"CF-05";"CONFIGURACION";"Empresas";"Varias empresas y cambio entre ellas";"app.js data-empresa-k; erp_empresas_override";"ACTIVE";"useEmpresa; RLS por company_id";"OK";"PARITY";"";""
"CF-06";"CONFIGURACION";"Marcas";"Administrar marcas";"app.js RPC erp_create_brand/erp_delete_brand";"ACTIVE";"MarcasPage";"OK";"PARITY";"";""
"CF-07";"CONFIGURACION";"Categorías";"Administrar categorías";"app.js RPC erp_create_category/erp_delete_category";"ACTIVE";"CategoriasPage";"OK";"PARITY";"";""
"CF-08";"CONFIGURACION";"Atributos";"Definir atributos técnicos";"app.js: atributos a medida en el alta de producto";"ACTIVE";"AtributosPage; RPC config_atributos_listar";"OK";"PARITY";"";""
"CF-09";"CONFIGURACION";"Series";"Numeración y series de documento";"app.js: numeración por serie";"ACTIVE";"NumeracionPage; RPC autoridad_numeracion_*, config_numeracion_diagnostico";"OK";"PARITY";"";""
"CF-10";"CONFIGURACION";"Listas";"Listas de precios";"app.js:13558 renderCatalogoAdminPrecios";"ACTIVE";"ListasPreciosPage; RPC config_listas_precios_listar, config_lista_precios_items/clientes";"OK";"PARITY";"";""
"CF-11";"CONFIGURACION";"Auditoría";"Ver quién hizo qué";"app.js:38211 TRAZABILIDAD; :34164 renderTrazabilidad (sólo ADMIN); erp_trazabilidad_log";"ACTIVE";"AuditoriaPage; RPC config_auditoria_listar / config_auditoria_actores";"OK";"PARITY";"";""
"CF-12";"CONFIGURACION";"Impresión";"Opciones de impresión guardadas";"app.js erp_print_opts";"ACTIVE";"ModalImpresion";"PARCIAL";"PARTIAL";"LOW";"React no recuerda las opciones entre documentos."
"CF-13";"CONFIGURACION";"Depósitos";"Administrar depósitos";"no se encontró";"UNREACHABLE";"sin pantalla propia";"NO";"PARITY";"";"Ninguno de los dos lo expone."
"CF-14";"CONFIGURACION";"IA";"Configurar la clave de IA";"app.js loadAiConfig; erp_ai_config / erp_openai_key en localStorage";"ACTIVE";"RPC config_ia_whatsapp / guardar_config_ia_whatsapp";"PARCIAL";"INTENTIONALLY_DIFFERENT";"";"React guarda la configuración del lado del servidor; el legacy pone la clave de OpenAI en localStorage."
"CF-15";"CONFIGURACION";"STEL";"Estado de la sincronización con STEL";"app.js: import de STEL";"ACTIVE";"RPC stel_sync_estado";"OK";"PARITY";"";""
"FA-01";"OTROS";"Facturación";"Listar facturas de venta";"app.js:27095 renderFacturasList; data-fact-open";"ACTIVE";"sin equivalente";"NO";"MISSING";"BLOCKER";""
"FA-02";"OTROS";"Facturación";"Crear y editar factura de venta";"app.js:27366 renderFacturaEditor; data-fact-sku/qty/price/dto";"ACTIVE";"sin equivalente";"NO";"MISSING";"BLOCKER";""
"FA-03";"OTROS";"Facturación";"Imprimir y enviar la factura";"app.js #fact-print-btn / data-doc-enviar";"ACTIVE";"sin equivalente";"NO";"MISSING";"BLOCKER";""
"FA-04";"OTROS";"Facturación";"Exportar facturas a CSV";"app.js:27313 facturas-AAAA-MM-DD.csv";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";""
"FA-05";"OTROS";"Facturación";"Recibos de cobro";"app.js:27703 renderRecibosList; :27776 CSV";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";""
"FA-06";"OTROS";"Facturación";"Notas de crédito";"app.js:27803 renderNotasCreditoList; :27876 CSV";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";""
"CR-01";"OTROS";"CRM";"Leads: listar, abrir y borrar";"app.js:27970 renderCRMLeads; data-lead-open / data-lead-del; erp_client_leads";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"CR-02";"OTROS";"CRM";"Embudo de oportunidades";"app.js:28093 renderCRMPipeline; data-opp-open";"ACTIVE";"RPC informe_pipeline_comercial (sólo lectura, en Informes)";"PARCIAL";"PARTIAL";"MEDIUM";""
"CR-03";"OTROS";"CRM";"Actividades comerciales";"app.js:28223 renderCRMActividades";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"CR-04";"OTROS";"CRM";"Informes de CRM";"app.js:28259 renderCRMInformes";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";""
"FI-01";"OTROS";"Finanzas";"Tipo de cambio";"app.js:28362 renderFinanzasTC; erp_finanzas_rates";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";"Los documentos en moneda extranjera dependen de esto."
"FI-02";"OTROS";"Finanzas";"Aging de cuentas por cobrar";"app.js:28434 renderFinanzasAging";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";""
"FI-03";"OTROS";"Finanzas";"Flujo de caja";"app.js:28474 renderFinanzasCash";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"AG-01";"OTROS";"Agenda";"Calendario de eventos";"app.js:25935 renderCalendario; data-agenda-day; erp_eventos";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"AG-02";"OTROS";"Agenda";"Crear y abrir un evento";"app.js:25998 renderEventosLista; data-agenda-ev";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"IM-01";"OTROS";"Importación";"Calculadora de costo Europa → Argentina";"app.js:34644; :34852 courier; :34922 tradicional; imp_params_v1";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"IM-02";"OTROS";"Importación";"Comparar courier contra despacho formal";"app.js:34977 renderImpComparar; data-imp-mode";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"IM-03";"OTROS";"Importación";"Cargar y editar los ítems a importar";"app.js data-imp-row/edit/idx/del/add; imp_items_v1";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"CN-01";"OTROS";"Conexiones";"Integración con Mercado Libre";"app.js:33911 renderConexiones; #btn-ml-guardar/test/borrar; erp_conexiones";"CONDITIONAL";"sin equivalente";"NO";"MISSING";"LOW";"Sólo ADMIN. Falta confirmar si está en uso."
"CN-02";"OTROS";"Conexiones";"Integración con Amazon";"app.js #btn-amz-guardar/test/borrar";"CONDITIONAL";"sin equivalente";"NO";"MISSING";"LOW";"Ídem."
"CH-01";"OTROS";"Chat";"Chat interno entre usuarios";"app.js:35584 CHAT (local, mismo navegador); erp_chat_messages / erp_chat_groups";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"El legacy lo hace con localStorage: sólo funciona entre pestañas del mismo navegador."
"CH-02";"OTROS";"Chat";"Grupos de chat";"app.js data-cg-member; erp_chat_groups";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";""
"CH-03";"OTROS";"Mensajes";"Mensajes internos con acuse";"app.js:10912 renderMensajesSection; data-msg-para / data-msg-ok; erp_mensajes";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";""
"PC-01";"OTROS";"Portal cliente";"Catálogo público sin iniciar sesión";"app.js:1008 getPermsFor(null)";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";""
"PC-02";"OTROS";"Portal cliente";"Armar una cotización como cliente";"app.js:2088 renderClienteCotizacion; erp_client_carrito; data-micot-inc/dec/del";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";""
"PC-03";"OTROS";"Portal cliente";"Enviar la solicitud y que la vea el equipo";"app.js:2294 renderAdminSolicitudesPanel; erp_client_solicitudes";"ACTIVE";"sin equivalente";"NO";"MISSING";"HIGH";""
"PC-04";"OTROS";"Portal cliente";"Panel de leads de la web";"app.js:2273 renderAdminLeadsPanel; erp_client_leads";"ACTIVE";"sin equivalente";"NO";"MISSING";"MEDIUM";""
"PC-05";"OTROS";"Portal cliente";"Cuentas de cliente";"app.js erp_client_accounts";"ACTIVE";"roles customer/distributor con RLS";"PARCIAL";"PARTIAL";"HIGH";"React tiene los roles pero no la pantalla del portal."
"IA-01";"OTROS";"IA";"Asistente del catálogo";"app.js:5763 ASISTENTE IA del Catálogo (Claude/OpenAI directo)";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"Fuera de alcance por decisión: «NO queremos IA todavía»."
"IA-02";"OTROS";"IA";"Cuatro chats especializados";"app.js:6346 AI_CATS";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"Ídem."
"IA-03";"OTROS";"IA";"La IA ejecuta acciones (crear cotización, agregar SKU)";"app.js:9151 EJECUTOR DE ACCIONES; data-ai-add-sku / data-ai-cot-keep / data-ai-open-doc-ref";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"Ídem. Es la parte más delicada: la IA escribe documentos."
"IA-04";"OTROS";"IA";"Clave de OpenAI en el navegador";"app.js erp_openai_key en localStorage";"ACTIVE";"no se replica";"N/A";"INTENTIONALLY_DIFFERENT";"";"Diferencia de seguridad deliberada: no se copia."
"IA-05";"OTROS";"IA";"Resumen diario y memoria de la IA";"app.js tablas erp_ai_daily_summaries / erp_ai_memory / erp_ai_conversations";"ACTIVE";"sin equivalente";"NO";"MISSING";"LOW";"Ídem."
"IA-06";"OTROS";"IA";"Clon conversacional por usuario";"app.js tablas erp_clone_conversations / erp_clone_notes / erp_clone_prompts";"CONDITIONAL";"sin equivalente";"NO";"UNKNOWN";"";"Cómo verificarlo: mirar si erp_clone_conversations tiene filas con created_at del último año; si está vacía, es código sin uso. Dato necesario: un select count(*) por fecha."
"WA-01";"OTROS";"WhatsApp";"Ver el estado de la sesión de WhatsApp";"app.js:43826 renderWhatsapp; tabla suite_wa_sesion; RPC suite_wa_ping";"ACTIVE";"modules/whatsapp/pages/WhatsappPage.tsx";"OK";"PARITY";"";""
"WA-02";"OTROS";"WhatsApp";"Conversaciones y asignación";"app.js bt_wa_settings";"ACTIVE";"RPC asignar_conversacion_whatsapp, no_leidos_whatsapp, marcar_conversacion_leida_whatsapp";"OK";"PARITY";"";""
"WA-03";"OTROS";"WhatsApp";"IA sobre las conversaciones";"no se encontró en el legacy";"UNREACHABLE";"ConfigIAWhatsappPage; RPC estado_ia_whatsapp, metricas_ia_whatsapp, resolver_item_ia_whatsapp";"OK";"INTENTIONALLY_DIFFERENT";"";"REACT_ONLY."
"WA-04";"OTROS";"WhatsApp";"Informe de WhatsApp";"no se encontró";"UNREACHABLE";"InformeWhatsappPage; RPC informe_whatsapp";"OK";"INTENTIONALLY_DIFFERENT";"";"REACT_ONLY."
"TR-01";"OTROS";"Trazabilidad";"Vista de trazabilidad para ADMIN";"app.js:34164 renderTrazabilidad";"CONDITIONAL";"AuditoriaPage";"OK";"PARITY";"";"Duplica CF-11; se cuenta una sola vez allá."
"OT-01";"OTROS";"Obsoleto";"renderDocRowRel_OLD";"app.js:25025";"DEAD_CODE";"no aplica";"N/A";"LEGACY_DEAD_CODE";"";"Sin referencias."
"OT-02";"OTROS";"Obsoleto";"_supaClienteSyncDone (bandera de sincronización vieja)";"app.js localStorage";"DEAD_CODE";"no aplica";"N/A";"LEGACY_DEAD_CODE";"";"Bandera de una migración ya hecha."
